"V2"	"V3.Baixa"	"V3.Media"	"residuals"	"residualsPos"
"2640"	"liberdade/Rua_Severino_Pimentel__439__180.jpg"	5.53045454527	5.18724010071	0.358501847871531	0.358501847871531
"1163"	"centro/Rua_Augusto_Severo__71_90.jpg"	3.85993669558	4.01148410112	-0.353999822022648	0.353999822022648
"1321"	"centro/Rua_Doutor_Severino_Cruz__411__90.jpg"	7.87542795357	8.0783537672	0.347770780844955	0.347770780844955
"530"	"catole/Rua_Luisa_Bezerra_Mota__246_270.jpg"	6.30166598952	6.15969583111	0.337347933847169	0.337347933847169
"2514"	"liberdade/Rua_Sergipe__1337_0.jpg"	4.41595177654	4.61425297298	-0.28912604259164	0.28912604259164
"178"	"catole/Rua_Deputado_Ascendino_Moura__101__270.jpg"	5.100403519	5.43841221615	-0.276206395192576	0.276206395192576
"2108"	"liberdade/Rua_Odon_Bezerra__388__90.jpg"	4.93534884688	4.5588827539	0.275387162198005	0.275387162198005
"2086"	"liberdade/Rua_Odon_Bezerra__388__270.jpg"	4.89826626833	4.5153307935	0.273791098485756	0.273791098485756
"2373"	"liberdade/Rua_Riachuelo__847__180.jpg"	5.39198369395	5.79274362474	-0.273338523269254	0.273338523269254
"432"	"catole/Rua_Inacio_Marques_da_Silva__434_270.jpg"	7.14828190768	7.93184507781	-0.259998715008095	0.259998715008095
"514"	"catole/Rua_Joao_Francisco_Mota__64__90.jpg"	6.51059006081	6.55325989334	0.225592595860085	0.225592595860085
"2592"	"liberdade/Rua_Severino_Pimentel__321__180.jpg"	5.44667191539	5.80056839186	-0.225025989902893	0.225025989902893
"348"	"catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__90.jpg"	5.29766295014	5.61678222629	-0.224284394407218	0.224284394407218
"1859"	"liberdade/Rua_Acre__635_90.jpg"	5.35317489646	5.68057715668	-0.220753110336767	0.220753110336767
"2160"	"liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg"	5.57589018175	5.41235911959	0.220508556460025	0.220508556460025
"1527"	"centro/Rua_Joao_da_Mata__490_270.jpg"	3.99589111214	4.0077418821	-0.21499621296799	0.21499621296799
"2406"	"liberdade/Rua_Riachuelo__930__0.jpg"	5.72418053278	5.60989462619	0.207845264495258	0.207845264495258
"443"	"catole/Rua_Inacio_Marques_da_Silva__434_90.jpg"	3.97653150387	3.96779280187	-0.201804964392142	0.201804964392142
"2288"	"liberdade/Rua_Riachuelo__455__0.jpg"	3.53776297363	3.4123913845	-0.188027605597737	0.188027605597737
"1908"	"liberdade/Rua_Edesio_Silva__602__180.jpg"	3.18030556726	2.97005149154	-0.185062633028056	0.185062633028056
"1238"	"centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg"	5.41152584798	5.70750769415	-0.184345394178402	0.184345394178402
"1126"	"centro/Avenida_Presidente_Joao_Pessoa__128__90.jpg"	5.67691524355	6.0165253881	-0.170746294171875	0.170746294171875
"2156"	"liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg"	4.12046010917	4.10358414634	-0.168520323591453	0.168520323591453
"375"	"catole/Rua_Honorio_de_Melo__240__270.jpg"	5.65058330223	5.97163253751	-0.160499151704614	0.160499151704614
"1102"	"centro/Avenida_Presidente_Joao_Pessoa__128__180.jpg"	5.6927563371	5.63643286277	0.154797483619217	0.154797483619217
"990"	"centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg"	4.51624084716	4.19530467097	0.15252573590612	0.15252573590612
"817"	"catole/Rua_Vigario_Calixto__1201_180.jpg"	5.37315610626	5.6212607045	-0.152440341151707	0.152440341151707
"1610"	"centro/Rua_Manoel_P._de_Araujo__150_90.jpg"	3.4088114459	2.84818133361	0.142744106651076	0.142744106651076
"481"	"catole/Rua_Joao_Francisco_Mota__64__270.jpg"	5.58035677219	5.53900472218	0.121783212158871	0.121783212158871
"1438"	"centro/Rua_Felix_Araujo__132__270.jpg"	3.83289146148	3.69131530937	-0.120168749415187	0.120168749415187
"306"	"catole/Rua_Doutor_Antonio_Telha__68__90.jpg"	5.0252173786	4.87846367129	0.104858392334705	0.104858392334705
"1734"	"centro/Rua_Quebra_Quilos__399__270.jpg"	5.97823299245	6.3020708763	-0.102093484135627	0.102093484135627
"2077"	"liberdade/Rua_Odon_Bezerra__306_90.jpg"	5.19340204159	5.10258121601	0.0904301372594391	0.0904301372594391
"1991"	"liberdade/Rua_Odon_Bezerra__147_270.jpg"	4.58998638242	4.58080735214	-0.0878396549480687	0.0878396549480687
"1674"	"centro/Rua_Pedro_Alvares_Cabral__129_180.jpg"	4.03006608662	3.88669730446	-0.0821930674251943	0.0821930674251943
"742"	"catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg"	4.82892139813	4.86037347956	-0.0766975431098029	0.0766975431098029
"2203"	"liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg"	5.51744666299	5.51869771016	0.0754194323718212	0.0754194323718212
"67"	"catole/Rua_Aluisio_Cunha_Linha__50__270.jpg"	4.12231667632	3.98994134757	-0.0740666189597767	0.0740666189597767
"873"	"centro/Avenida_Dom_Pedro_II__119_270.jpg"	4.11829678036	3.97633942137	-0.0670035475519449	0.0670035475519449
"2236"	"liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg"	4.95136803734	4.85134314095	0.053107094273654	0.053107094273654
"749"	"catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg"	4.57685111181	4.41578651114	0.0334854860721007	0.0334854860721007
"1941"	"liberdade/Rua_Espirito_Santo__1288__0.jpg"	5.34387603676	5.35715901925	0.0334719316957465	0.0334719316957465
"699"	"catole/Rua_Otacilio_Nepomuceno__76_90.jpg"	6.6093342783	6.91851139865	0.0267267208616957	0.0267267208616957
"3"	"catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg"	5.12135963429	5.09572860139	0.0239712997495804	0.0239712997495804
"1831"	"liberdade/Rua_Acre__635_270.jpg"	5.27427041613	5.30566449434	0.0058244963115642	0.0058244963115642
