                                                                    V2 V3.Jovem V3.Adulto   residuals residualsPos
2169                     liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg 4.747816  7.178714 -0.70328120   0.70328120
1340                                centro/Rua_Elias_Aforas__202_0.jpg 3.570862  2.552530 -0.69307519   0.69307519
962               centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg 3.957684  4.058800 -0.69278807   0.69278807
1952                       liberdade/Rua_Espirito_Santo__1288__180.jpg 4.011019  4.216646 -0.67995963   0.67995963
1241                centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg 5.762199  5.762323  0.67457206   0.67457206
1566                               centro/Rua_Joao_da_Mata__490_90.jpg 4.645643  6.666667 -0.67405390   0.67405390
1381                                centro/Rua_Elias_Aforas__67__0.jpg 5.279370  3.892673  0.67152880   0.67152880
1371                              centro/Rua_Elias_Aforas__202_180.jpg 3.792792  3.333333 -0.67151245   0.67151245
2008                            liberdade/Rua_Odon_Bezerra__147_90.jpg 4.984497  7.964693 -0.66829646   0.66829646
765                catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg 4.485538  5.964121 -0.65387389   0.65387389
1797              liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg 5.020744  3.000000  0.64197885   0.64197885
2022                            liberdade/Rua_Odon_Bezerra__147_90.jpg 5.344062  4.263889  0.64096021   0.64096021
2519                                liberdade/Rua_Sergipe__1337_90.jpg 3.397454  1.628420 -0.62934008   0.62934008
993             centro/Avenida_Presidente_Getulio_Vargas__210__180.jpg 4.288541  4.987132 -0.60015815   0.60015815
1786                liberdade/Avenida_Assis_Chateaubriand__1334__0.jpg 5.372880  4.706896  0.55609496   0.55609496
806                           catole/Rua_Vigario_Calixto__1201_180.jpg 5.077068  3.563567  0.55368091   0.55368091
787                             catole/Rua_Vigario_Calixto__1201_0.jpg 5.079506  3.585590  0.55046808   0.55046808
2653                      liberdade/Rua_Severino_Pimentel__511_270.jpg 4.947399  7.338503 -0.54470274   0.54470274
621                           catole/Rua_Olegario_Mariano__139_270.jpg 5.281186  4.416531  0.53891336   0.53891336
533                         catole/Rua_Luisa_Bezerra_Mota__246_270.jpg 5.552923  5.531591  0.52450626   0.52450626
1391                                centro/Rua_Elias_Aforas__67__0.jpg 4.963018  3.235387  0.52384800   0.52384800
691                           catole/Rua_Otacilio_Nepomuceno__76_0.jpg 5.686050  6.056499  0.52293302   0.52293302
2197                    liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg 5.592283  5.701754  0.52019981   0.52019981
1479                              centro/Rua_Felix_Araujo__48__270.jpg 4.608379  1.888889  0.51474471   0.51474471
1880                            liberdade/Rua_Edesio_Silva__602__0.jpg 4.976334  3.333333  0.51202932   0.51202932
814                           catole/Rua_Vigario_Calixto__1201_180.jpg 5.251921  4.428910  0.50647215   0.50647215
478                        catole/Rua_Joao_Francisco_Mota__64__270.jpg 5.317766  4.711239  0.49986664   0.49986664
2409                               liberdade/Rua_Riachuelo__930__0.jpg 5.026854  7.470680 -0.49916715   0.49916715
2247                    liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg 5.122340  7.777778 -0.48248741   0.48248741
2625                     liberdade/Rua_Severino_Pimentel__439__180.jpg 5.110209  7.718254 -0.47934391   0.47934391
914                           centro/Avenida_Dom_Pedro_II__500_270.jpg 5.343818  4.906043  0.47592832   0.47592832
1013            centro/Avenida_Presidente_Getulio_Vargas__271__270.jpg 4.528411  5.388383 -0.46325633   0.46325633
1451                              centro/Rua_Felix_Araujo__132__90.jpg 4.010460  3.333333 -0.45384492   0.45384492
1741                             centro/Rua_Quebra_Quilos__399__90.jpg 5.215313  7.963576 -0.43719391   0.43719391
662                            catole/Rua_Olegario_Mariano__139_90.jpg 6.020711  7.705151  0.43452074   0.43452074
2602                       liberdade/Rua_Severino_Pimentel__439__0.jpg 4.096717  3.592257 -0.43403187   0.43403187
37         catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg 5.385286  5.243459  0.43080938   0.43080938
1939                         liberdade/Rua_Espirito_Santo__1288__0.jpg 5.095293  4.134892  0.42529409   0.42529409
324  catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg 6.040314  7.830159  0.42204456   0.42204456
1560                               centro/Rua_Joao_da_Mata__490_90.jpg 4.554798  5.300759 -0.41438338   0.41438338
2114                           liberdade/Rua_Odon_Bezerra__388__90.jpg 5.186347  4.549566  0.40993567   0.40993567
2510                                 liberdade/Rua_Sergipe__1337_0.jpg 4.346812  4.444069 -0.40252726   0.40252726
2476                       liberdade/Rua_Santa_Catarina__1231__180.jpg 4.558093  2.206020  0.38307686   0.38307686
776                             catole/Rua_Vigario_Calixto__1201_0.jpg 4.989085  3.892189  0.38136765   0.38136765
1293                     centro/Rua_Doutor_Severino_Cruz__411__270.jpg 5.150242  4.559967  0.37116144   0.37116144
2545                       liberdade/Rua_Severino_Pimentel__321__0.jpg 5.260044  5.000000  0.36804313   0.36804313
235                       catole/Rua_Doutor_Antonio_Telha__235_180.jpg 4.870822  6.346707 -0.36676769   0.36676769
1814              liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg 4.562815  5.108416 -0.35700699   0.35700699
2493                                 liberdade/Rua_Sergipe__1337_0.jpg 4.583080  2.434478  0.34943791   0.34943791
1145                               centro/Rua_Augusto_Severo__71_0.jpg 4.655206  2.818940  0.32290365   0.32290365
1953                       liberdade/Rua_Espirito_Santo__1288__180.jpg 4.700804  3.000748  0.32184620   0.32184620
483                        catole/Rua_Joao_Francisco_Mota__64__270.jpg 5.084874  6.981961 -0.31573314   0.31573314
1074             centro/Avenida_Presidente_Getulio_Vargas__395__90.jpg 4.864586  6.111111 -0.31254534   0.31254534
18          catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg 5.007926  6.666667 -0.31177079   0.31177079
2102                          liberdade/Rua_Odon_Bezerra__388__270.jpg 5.282111  5.315952  0.30903120   0.30903120
2362                               liberdade/Rua_Riachuelo__847__0.jpg 5.824493  7.457832  0.30176934   0.30176934
2038                           liberdade/Rua_Odon_Bezerra__306_270.jpg 5.280088  5.341073  0.30056135   0.30056135
1861                                    liberdade/Rua_Acre__635_90.jpg 5.761039  7.259186  0.28929095   0.28929095
720                  catole/Rua_Sebastiao_Vieira_da_Silva__1273__0.jpg 4.744005  3.303280  0.28741267   0.28741267
2569                     liberdade/Rua_Severino_Pimentel__321__180.jpg 4.988878  4.274298  0.28310488   0.28310488
2223                     liberdade/Rua_Padre_Pedro_Serrao__336__90.jpg 5.013862  6.562049 -0.27898798   0.27898798
2535                                liberdade/Rua_Sergipe__1337_90.jpg 3.761563  1.677974 -0.27794735   0.27794735
298                        catole/Rua_Doutor_Antonio_Telha__68__90.jpg 4.616304  4.984242 -0.27165325   0.27165325
599                           catole/Rua_Olegario_Mariano__139_180.jpg 4.729544  3.333333  0.26523952   0.26523952
93                          catole/Rua_Aluisio_Cunha_Linha__50__90.jpg 3.953178  2.346377 -0.25785668   0.25785668
2193                    liberdade/Rua_Padre_Pedro_Serrao__336__270.jpg 5.445389  6.196780  0.24627309   0.24627309
832                       centro/Avenida_Barao_Rio_Branco__141_270.jpg 5.590087  6.771937  0.24337619   0.24337619
567                             catole/Rua_Olegario_Mariano__139_0.jpg 4.581154  4.717287 -0.23829804   0.23829804
35         catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_90.jpg 4.830864  5.671296 -0.23340316   0.23340316
325  catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg 5.552670  6.666667  0.23297268   0.23297268
1199                          centro/Rua_Capitao_Joao_de_Sa__45__0.jpg 5.094771  6.666667 -0.22492574   0.22492574
2305                               liberdade/Rua_Riachuelo__455__0.jpg 4.240874  3.337861 -0.22459241   0.22459241
1324                      centro/Rua_Doutor_Severino_Cruz__411__90.jpg 5.827027  7.777778  0.22219897   0.22219897
899                            centro/Avenida_Dom_Pedro_II__119_90.jpg 4.411264  3.981307 -0.21932225   0.21932225
973               centro/Avenida_Presidente_Getulio_Vargas__210__0.jpg 4.019281  2.451315 -0.21868267   0.21868267
2045                           liberdade/Rua_Odon_Bezerra__306_270.jpg 5.292547  7.333333 -0.19822851   0.19822851
1172                              centro/Rua_Augusto_Severo__71_90.jpg 3.962032  2.142857 -0.19677506   0.19677506
2441                         liberdade/Rua_Santa_Catarina__1231__0.jpg 4.850652  4.084089  0.19368965   0.19368965
20          catole/Avenida_Prefeito_Severino_Bezerra_Cabral__218_0.jpg 5.285009  7.265554 -0.18837358   0.18837358
560                          catole/Rua_Luisa_Bezerra_Mota__246_90.jpg 4.945481  4.496875  0.18259110   0.18259110
1754                             centro/Rua_Quebra_Quilos__399__90.jpg 5.586067  7.000000  0.18083089   0.18083089
2580                     liberdade/Rua_Severino_Pimentel__321__180.jpg 4.743962  5.109055 -0.17602457   0.17602457
2284                     liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg 4.348976  3.555556 -0.17235515   0.17235515
2566                       liberdade/Rua_Severino_Pimentel__321__0.jpg 4.495772  4.043671 -0.15081848   0.15081848
2607                       liberdade/Rua_Severino_Pimentel__439__0.jpg 5.612356  7.222222  0.15009370   0.15009370
2316                             liberdade/Rua_Riachuelo__455__180.jpg 5.101393  6.397661 -0.14927269   0.14927269
1269                 centro/Rua_Coronel_Salvino_Figueiredo__251_90.jpg 4.459000  3.888872 -0.14786582   0.14786582
98                          catole/Rua_Aluisio_Cunha_Linha__50__90.jpg 4.862046  4.357895  0.13482025   0.13482025
2270                     liberdade/Rua_Padre_Pedro_Serrao__353__90.jpg 5.050403  5.104107  0.13168643   0.13168643
1162                              centro/Rua_Augusto_Severo__71_90.jpg 4.308791  3.238122 -0.13108060   0.13108060
2145                    liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg 4.298014  3.173300 -0.12522285   0.12522285
1478                              centro/Rua_Felix_Araujo__48__270.jpg 4.586093  3.333333  0.12178870   0.12178870
1613                        centro/Rua_Manoel_P._de_Araujo__150_90.jpg 5.340999  6.280883  0.12030058   0.12030058
2648                      liberdade/Rua_Severino_Pimentel__511_270.jpg 4.888933  4.587302  0.10283787   0.10283787
847                        centro/Avenida_Barao_Rio_Branco__141_90.jpg 5.001713  5.820499 -0.10084273   0.10084273
175                  catole/Rua_Deputado_Ascendino_Moura__101__270.jpg 4.698788  3.858732  0.09965619   0.09965619
2377                             liberdade/Rua_Riachuelo__847__180.jpg 5.115881  5.551994  0.08222812   0.08222812
1403                              centro/Rua_Elias_Aforas__67__180.jpg 5.740614  8.001727  0.07831678   0.07831678
289                        catole/Rua_Doutor_Antonio_Telha__68__90.jpg 4.788545  4.333095  0.06768417   0.06768417
2693                       liberdade/Rua_Severino_Pimentel__511_90.jpg 4.549927  3.925413 -0.06631614   0.06631614
2324                             liberdade/Rua_Riachuelo__455__180.jpg 4.131515  2.287729 -0.06446955   0.06446955
1643                         centro/Rua_Manoel_P._de_Araujo__370_0.jpg 4.402632  3.333333 -0.06167294   0.06167294
1375                              centro/Rua_Elias_Aforas__202_180.jpg 4.834929  4.537475  0.06162058   0.06162058
2148                    liberdade/Rua_Padre_Pedro_Serrao__207__270.jpg 4.404563  3.333333 -0.05974191   0.05974191
207                   catole/Rua_Deputado_Ascendino_Moura__101__90.jpg 5.027443  5.337722  0.04877708   0.04877708
268                       catole/Rua_Doutor_Antonio_Telha__68__270.jpg 4.171133  2.367743 -0.04538405   0.04538405
757                catole/Rua_Sebastiao_Vieira_da_Silva__1273__180.jpg 4.687480  4.027539  0.04503011   0.04503011
1246                centro/Rua_Coronel_Salvino_Figueiredo__251_270.jpg 5.700392  8.000000  0.03853828   0.03853828
1826                                   liberdade/Rua_Acre__635_270.jpg 4.963055  5.404615 -0.03277709   0.03277709
1905                          liberdade/Rua_Edesio_Silva__602__180.jpg 4.052857  1.633907  0.02465541   0.02465541
1499                               centro/Rua_Felix_Araujo__48__90.jpg 4.443091  3.333333 -0.02121344   0.02121344
242                       catole/Rua_Doutor_Antonio_Telha__235_180.jpg 3.874085  1.111111 -0.01995844   0.01995844
75                         catole/Rua_Aluisio_Cunha_Linha__50__270.jpg 4.386747  3.106522 -0.01935406   0.01935406
2422                             liberdade/Rua_Riachuelo__930__180.jpg 4.469392  3.284360  0.01765430   0.01765430
1870                                    liberdade/Rua_Acre__635_90.jpg 4.965763  5.337776 -0.01291763   0.01291763
1934                         liberdade/Rua_Espirito_Santo__1288__0.jpg 4.989948  5.370922  0.00276254   0.00276254
