"election_id","candidate_id","city_id","post_id","city_name","city_state","full_ibge_code","total_votes","attendances","valid_votes","name","display_name"
131,114759,"61786",6,"BOM SUCESSO DE ITARARÉ","SP",3507159,34,2388,2273,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61794",6,"ASSIS","SP",3504008,2029,53302,44931,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61808",6,"PONTALINDA","SP",3540259,156,2587,2250,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61816",6,"ATIBAIA","SP",3504107,3429,80868,66106,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61824",6,"PARISI","SP",3536257,28,1771,1635,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61832",6,"AURIFLAMA","SP",3504206,326,8953,7054,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61840",6,"TAQUARIVAÍ","SP",3553856,86,3561,3209,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61859",6,"AVAÍ","SP",3504305,65,3271,2977,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61867",6,"MARAPOAMA","SP",3528858,22,2087,1847,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61875",6,"AVANHANDAVA","SP",3504404,384,6069,5186,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61883",6,"SÃO JOÃO DE IRACEMA","SP",3549250,22,1292,1194,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61891",6,"AVARÉ","SP",3504503,1854,49460,40982,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61905",6,"SÃO LOURENÇO DA SERRA","SP",3549953,261,8729,7433,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61913",6,"BADY BASSITT","SP",3504602,223,9427,8116,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61921",6,"ZACARIAS","SP",3557154,34,1822,1646,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61930",6,"BALBINOS","SP",3504701,28,1113,962,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61948",6,"ITAPIRAPUÃ PAULISTA","SP",3522653,20,2400,2179,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61956",6,"BÁLSAMO","SP",3504800,69,5800,5129,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61964",6,"MESÓPOLIS","SP",3529658,46,1310,1163,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61972",6,"BANANAL","SP",3504909,144,6498,5388,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61980",6,"NOVA CAMPINA","SP",3532827,131,5365,5000,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"61999",6,"BARBOSA","SP",3505104,107,4274,3898,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62006",6,"ILHA COMPRIDA","SP",3520426,115,5935,5275,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62014",6,"BARÃO DE ANTONINA","SP",3505005,74,1988,1675,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62022",6,"LOURDES","SP",3527256,54,1564,1391,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62030",6,"BARIRI","SP",3505203,474,18303,15127,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
131,114759,"62049",6,"TORRE DE PEDRA","SP",3554656,14,1901,1780,"FRANCISCO EVERARDO OLIVEIRA SILVA","TIRIRICA"
