"id_eleicao","id_candidato","id_cidade","id_cargo","uf","votos_do_candidato","eleitores","votes_nominais"
131,112506,"69078",6,"SP",0,1910,1700
131,112506,"69094",6,"SP",0,3069,2744
131,112506,"69116",6,"SP",0,5084,4331
131,112506,"69132",6,"SP",0,30853,24764
131,112506,"69159",6,"SP",2,32525,27875
131,112506,"69175",6,"SP",0,10023,8070
131,112506,"69191",6,"SP",0,10665,8892
131,112506,"69213",6,"SP",1,147647,123726
131,112506,"69230",6,"SP",0,2778,2525
131,112506,"69256",6,"SP",0,8308,7203
131,112506,"69272",6,"SP",0,23626,20712
131,112506,"69299",6,"SP",0,127988,110872
131,112506,"69310",6,"SP",0,22639,20240
131,112506,"69337",6,"SP",0,21070,16999
131,112506,"69353",6,"SP",0,7903,6729
131,112506,"69370",6,"SP",0,2348,2195
131,112506,"69396",6,"SP",0,5845,5191
131,112506,"69418",6,"SP",0,4019,3614
131,112506,"69434",6,"SP",1,6309,5488
131,112506,"69450",6,"SP",0,18491,16597
131,112506,"69477",6,"SP",0,2950,2582
131,112506,"69493",6,"SP",0,12224,10851
131,112506,"69515",6,"SP",0,3614,3215
131,112506,"69531",6,"SP",0,33204,30579
131,112506,"69558",6,"SP",0,4862,4347
131,112506,"69574",6,"SP",0,2336,2142
131,112506,"69590",6,"SP",0,6947,5832
131,112506,"69612",6,"SP",0,11030,10058
131,112506,"69639",6,"SP",0,3041,2832
131,112506,"69655",6,"SP",0,3147,2790
131,112506,"69671",6,"SP",1,72795,57085
131,112506,"69698",6,"SP",1,336700,272751
131,112506,"69710",6,"SP",0,3524,3060
131,112506,"69736",6,"SP",0,2959,2667
131,112506,"69752",6,"SP",0,6183,5173
131,112506,"69779",6,"SP",0,5876,5021
131,112506,"69795",6,"SP",0,115288,91657
131,112506,"69817",6,"SP",0,19660,16002
131,112506,"69833",6,"SP",0,27637,23615
131,112506,"69850",6,"SP",0,5413,4834
131,112506,"69876",6,"SP",0,6220,5495
131,112506,"69892",6,"SP",0,1887,1723
131,112506,"69914",6,"SP",0,2099,1828
131,112506,"69930",6,"SP",0,3542,2995
131,112506,"69957",6,"SP",0,1701,1594
131,112506,"69973",6,"SP",0,3620,3265
131,112506,"69990",6,"SP",1,6633,5692
131,112506,"70017",6,"SP",0,11680,10223
131,112506,"70033",6,"SP",0,2989,2583
131,112506,"70050",6,"SP",0,68960,57348
131,112506,"70076",6,"SP",0,23136,17670
131,112506,"70092",6,"SP",0,5136,4373
131,112506,"70114",6,"SP",0,2622,2474
131,112506,"70130",6,"SP",0,9057,7905
131,112506,"70157",6,"SP",0,3812,3296
131,112506,"70173",6,"SP",1,113895,90813
131,112506,"70190",6,"SP",0,3627,3075
131,112506,"70211",6,"SP",0,9255,8285
131,112506,"70238",6,"SP",0,1645,1437
131,112506,"70254",6,"SP",0,2904,2453
131,112506,"70270",6,"SP",0,17787,15193
131,112506,"70297",6,"SP",0,26648,22799
131,112506,"70319",6,"SP",0,4174,3785
131,112506,"70335",6,"SP",0,18666,16357
131,112506,"70351",6,"SP",0,13107,10887
131,112506,"70378",6,"SP",2,32242,27397
131,112506,"70394",6,"SP",0,6351,5104
131,112506,"70416",6,"SP",0,3424,2964
131,112506,"70432",6,"SP",0,1987,1825
131,112506,"70459",6,"SP",0,1299,1142
131,112506,"70475",6,"SP",0,62255,48405
131,112506,"70491",6,"SP",0,1917,1699
131,112506,"70513",6,"SP",0,16512,14248
131,112506,"70530",6,"SP",1,15048,12534
131,112506,"70556",6,"SP",0,12745,10499
131,112506,"70572",6,"SP",2,454664,367860
131,112506,"70599",6,"SP",0,4623,4214
131,112506,"70610",6,"SP",0,12667,10597
131,112506,"70637",6,"SP",0,4439,3967
