#,Pesquisador,Rua pesquisada,Cidade de origem,Loja:,Trabalha na área?,Quanto gastou em compras?,Em que estágio das compras o Sr./a Sra está?,Meio de transporte usado para chegar ao centro,"Se veio de carro, onde estacionou o carro?",Pedestres,Faixa de circulação de veículos,Estacionamento,Espaços Públicos,Arborização,Mobiliário Urbano,Em que ano o Sr./a Sra nasceu?,Qual sua renda familiar?,Sexo:,Start Date (UTC),Submit Date (UTC),Network ID
29d2787c9501aaa183dcc442b12e71c8,Maria Clara,Cardoso Vieira,Campina Grande,Não ,0,Não comprou,Nem começou,Ônibus,Não veio de carro,5,3,3,5,4,4,1957,"Até 1 SM (R$788,00)",Feminino,2015-12-11 19:24:31,2015-12-11 19:29:32,8616a6d529
5cf346130ecbdf24b52db011a53538a1,bia,Cardoso Vieira,rio grande do morte,n,1,Não comprou,Não está comprando,Carro,Na rua zona azul,4,4,5,5,5,5,1955,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Masculino,2015-12-11 19:25:33,2015-12-11 19:28:17,aa463a9ae4
fcfaeac6884e54915ac162807b3ccc23,Hanna,Cardoso Vieira,Sao mamede,N,0,"R$1,00 - R$50,00",Já comprou tudo,Ônibus,Não veio de carro,5,5,5,5,5,5,1994,"Até 1 SM (R$788,00)",Masculino,2015-12-11 19:25:35,2015-12-11 19:29:34,6db6bdd8a8
26e1f96adce4fbb5ab60e747087dc8b8,bia,Cardoso Vieira,Brasilía ,n,1,Não comprou,Não está comprando,Moto,Não veio de carro,5,5,2,5,5,5,1994,"Salário comercial (R$876,00)",Masculino,2015-12-11 19:28:24,2015-12-11 19:31:06,aa463a9ae4
399c3445f8962e746fd3a43c75e55c02,Bruna P,Cardoso Vieira,Campina Grande,N,0,Não comprou,Nem começou,A pé,Não veio de carro,5,5,5,5,5,5,1981,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Masculino,2015-12-11 19:29:08,2015-12-11 19:34:27,f7c2a7ca12
5bf9748995183798ea5b38d500742076,Hanna,Cardoso Vieira,Campina Grande,Esplanada,0,"R$1,00 - R$50,00",No meio,Moto,Estacionamento privado,4,5,5,5,3,5,1994,"Salário comercial (R$876,00)",Masculino,2015-12-11 19:29:48,2015-12-11 19:33:57,6db6bdd8a8
5bdb24f0daca9e791f424f43a94c48fa,Maria clara,Cardoso Vieira,Campina Grande,Nao,0,Não comprou,Já comprou tudo,Ônibus,Não veio de carro,5,5,5,3,5,5,1994,"Salário comercial (R$876,00)",Masculino,2015-12-11 19:30:19,2015-12-11 19:33:54,8616a6d529
de377663b5e030c46602f5b4413cc404,bia,Venâncio Neiva,sao Vicente sirido,thiago calçados,0,Não informou,Nem começou,Carro,Carona ida e volta,5,4,1,5,4,5,1973,"Até 1 SM (R$788,00)",Feminino,2015-12-11 19:31:35,2015-12-11 19:39:23,aa463a9ae4
63310c3766398eb2ce11be62c50db9fe,Marihana,Mons Sales,Campina Grande,Farmacia,0,Não comprou,No meio,Carro,Na rua,5,5,5,3,3,5,1988,"3 a 5 SM (R$2.365,00 - R$3.940,00)",Masculino,2015-12-11 19:34:18,2015-12-11 19:41:12,6db6bdd8a8
bee953a9a9ab212b92cd509e54c2027d,Bruna P,Monsenhor Sales,Campina Grande,N,0,"R$51,00 - R$100,00",No meio,A pé,Não veio de carro,5,1,1,5,5,5,1966,"3 SM (R$2.364,00)",Masculino,2015-12-11 19:34:48,2015-12-11 19:42:08,f7c2a7ca12
