street,qscore,num
R._Edésio_Silva,4.11766828841,70
R._Edésio_Silva,4.99388819536,306
R._Edésio_Silva,4.74815936682,306
R._Edésio_Silva,5.31667355537,306
R._Edésio_Silva,4.89554310167,306
R._Edésio_Silva,5.12512704335,602
R._Edésio_Silva,4.53742055036,602
R._Edésio_Silva,4.27637135426,602
R._Edésio_Silva,5.44119072492,602
R._Edésio_Silva,4.06177334278,1136
R._Edésio_Silva,4.50876573784,1136
R._Edésio_Silva,4.16564964307,1136
R._Edésio_Silva,4.75714013953,1136
R._Edésio_Silva,5.15306508151,1546
R._Edésio_Silva,5.20078971513,1546
R._Edésio_Silva,5.11410713294,1546
R._Edésio_Silva,5.24773875752,1546
