image,street_wid,sidewalk_wid,landscape,build_ident,trees
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_580_203.jpg,50,8,5,0,9
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_660_112.jpg,36,8,4,0,5
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_660_203.jpg,50,8,4,1,6
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_691_22.jpg,48,6,5,2,6
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_691_293.jpg,48,6,4,1,6
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_813_22.jpg,48,7,4,1,5
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_813_293.jpg,36,7,4,2,4
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_826_112.jpg,36,7,5,1,4
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_826_203.jpg,48,7,5,2,3
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_912_112.jpg,36,8,5,2,3
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_912_203.jpg,48,8,4,2,4
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_913_22.jpg,48,7,5,2,4
https://contribua.org/bairros/norte/centro/Av._Mal._Floriano_Peixoto_913_293.jpg,48,7,4,3,3
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_2_135.jpg,36,5,5,0,7
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_2_225.jpg,40,5,5,1,4
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_2_293.jpg,40,0,3,0,3
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_2_45.jpg,32,3,4,0,3
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_261_135.jpg,20,4,3,0,1
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_261_225.jpg,40,4,4,0,5
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_261_22.jpg,12,8,4,1,2
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_261_315.jpg,20,7,4,0,7
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_305_135.jpg,24,0,2,0,2
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_305_225.jpg,24,0,3,0,4
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_305_293.jpg,24,4,4,1,6
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_305_45.jpg,24,4,4,0,3
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_436_135.jpg,30,4,4,0,3
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_436_203.jpg,30,4,3,0,2
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_436_22.jpg,30,5,4,0,3
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_436_315.jpg,30,5,4,0,7
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_66_135.jpg,30,8,4,0,7
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_66_225.jpg,30,6,5,1,10
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_66_315.jpg,40,6,5,1,6
https://contribua.org/bairros/oeste/catole/R._Cristina_Procópio_Silva_66_45.jpg,40,8,4,0,6
