foto	qscore	red	green	blue	diag	hor	vert
liberdade/Rua_Riachuelo__455__0.jpg	3.34185035238	143.570794	142.777637	137.516849	2	46	2
centro/Rua_Felix_Araujo__132__90.jpg	3.52247863248	136.618867	130.802083	127.340228	25	60	8
centro/Rua_Elias_Aforas__202_180.jpg	3.0735042735	129.606719	129.901117	123.373167	3	53	2
centro/Rua_Felix_Araujo__48__270.jpg	3.54004524887	124.100846	125.010072	121.420277	28	52	7
liberdade/Rua_Santa_Catarina__1231__0.jpg	3.46777777778	118.076637	120.703314	113.714915	0	40	12
catole/Rua_Otacilio_Nepomuceno__76_0.jpg	5.04004144004	115.955612	120.652204	115.367415	0	47	0
liberdade/Avenida_Assis_Chateaubriand__1334__180.jpg	4.37179487179	134.132959	135.887747	130.572051	7	66	1
liberdade/Rua_Acre__635_90.jpg	5.20627577551	122.280931	123.107865	114.472673	0	41	9
liberdade/Rua_Odon_Bezerra__147_270.jpg	5.67834757835	130.915908	132.370719	127.111458	29	93	15
centro/Rua_Augusto_Severo__71_0.jpg	2.9872297637	131.773874	132.520160	127.058906	4	162	34
centro/Rua_Elias_Aforas__67__0.jpg	4.74743589744	125.000840	127.151543	123.736686	28	66	12
liberdade/Rua_Riachuelo__930__0.jpg	4.55995855996	124.296901	124.997305	118.495983	2	56	1
liberdade/Rua_Padre_Pedro_Serrao__207__90.jpg	4.59538461538	139.401413	138.018307	130.967428	16	56	2
centro/Rua_Doutor_Severino_Cruz__411__90.jpg	7.08965688096	128.611305	137.582194	136.705202	2	66	10
centro/Rua_Doutor_Severino_Cruz__411__270.jpg	6.72258852259	144.498691	145.224027	141.977536	0	84	0
catole/Rua_Doutor_Antonio_Telha_-_Catole__Campina_Grande__270.jpg	6.61349527665	140.519632	142.964596	140.693747	0	64	0
catole/Rua_Olegario_Mariano__139_180.jpg	4.67538461538	132.516969	136.157663	132.903721	3	33	13
catole/Rua_Doutor_Antonio_Telha__68__270.jpg	3.36111111111	125.487760	127.514404	120.395465	2	43	1
catole/Rua_Olegario_Mariano__139_270.jpg	5.82742673993	135.202174	136.802829	131.889030	0	29	3
centro/Avenida_Dom_Pedro_II__500_90.jpg	5.84002849003	129.926787	129.633376	126.628532	3	73	41
catole/Rua_Deputado_Ascendino_Moura__101__270.jpg	3.93821733822	130.496758	131.015820	121.776126	6	15	19
catole/Rua_Joao_Francisco_Mota__64__270.jpg	5.70468864469	126.428887	125.605205	117.998896	7	54	31
liberdade/Rua_Espirito_Santo__1288__0.jpg	5.08049382716	126.334404	127.991569	123.343815	19	42	10
liberdade/Rua_Padre_Pedro_Serrao__353__270.jpg	4.55128205128	123.511149	125.277279	117.987002	11	44	16
